code,name,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close,signals
HK.01810,XIAOMI-W,49.8,50.85,50.95,49.65,0.0,0.0,50749600,2549225145.0,1.4970059880239521,50.1,1.0
HK.01810,XIAOMI-W,50.8,51.3,51.55,50.7,0.0,0.0,30331800,1551024411.6,0.884955752212381,50.85,0.0
HK.01810,XIAOMI-W,51.3,51.7,51.9,51.3,0.0,0.0,12653200,653715551.0,0.7797270955165804,51.3,0.0
HK.01810,XIAOMI-W,51.7,51.1,51.75,50.85,0.0,0.0,22351000,1143734912.2,-1.1605415860735036,51.7,-1.0
HK.01810,XIAOMI-W,51.05,50.7,51.15,50.6,0.0,0.0,13524200,688058470.6,-0.782778864970643,51.1,0.0
HK.01810,XIAOMI-W,50.75,50.8,50.9,50.5,0.0,0.0,22319200,1132026968.2,0.19723865877710908,50.7,0.0
HK.01810,XIAOMI-W,51.1,51.1,51.45,50.25,0.0,0.0,32951400,1679391157.6,0.5905511811023706,50.8,1.0
HK.01810,XIAOMI-W,51.1,50.65,51.15,50.5,0.0,0.0,16594600,842652924.8,-0.880626223091982,51.1,0.0
HK.01810,XIAOMI-W,50.65,50.9,50.95,50.6,0.0,0.0,2718200,138161923.0,0.4935834155972359,50.65,0.0
HK.01810,XIAOMI-W,50.9,51.35,51.35,50.6,0.0,0.0,18280800,932555077.8,0.8840864440078642,50.9,0.0
HK.01810,XIAOMI-W,51.35,50.9,51.35,50.8,0.0,0.0,10676600,545340473.2,-0.8763388510224007,51.35,0.0
HK.01810,XIAOMI-W,50.85,51.35,51.35,50.8,0.0,0.0,18466000,945637661.6,0.8840864440078642,50.9,0.0
HK.01810,XIAOMI-W,51.45,49.9,51.45,48.4,0.0,0.0,134356200,6703472249.0,-2.823758519961057,51.35,-1.0
HK.01810,XIAOMI-W,49.9,49.4,49.95,49.05,0.0,0.0,34293200,1694900468.8,-1.002004008016032,49.9,0.0
HK.01810,XIAOMI-W,49.35,49.6,49.65,49.1,0.0,0.0,10663600,526262759.4,0.4048582995951474,49.4,0.0
HK.01810,XIAOMI-W,49.6,49.4,49.75,49.3,0.0,0.0,25419400,1258457590.2,-0.4032258064516186,49.6,0.0
HK.01810,XIAOMI-W,49.45,49.55,49.7,49.25,0.0,0.0,25975600,1284655849.0,0.3036437246963534,49.4,0.0
HK.01810,XIAOMI-W,49.55,50.6,51.4,49.5,0.0,0.0,125553000,6352051929.2,2.119071644803238,49.55,1.0
